# Author: eldar | Timeshtamp: 2021-06-01T15:47:24 | Plugin: rev.74-ef7de5f.. | OS: Linux-4.15.0-106-generic-x86_64-with-Ubuntu-18.04-bionic
'Наименование'                              'Кол-во' 'Примечание'                                                      'Примечание из ПЭ'
'Вилка   РЮМК.430420.011ТУ'                 ''       ''                                                                ''
'СНП346-10ВП22-2-В'                         '2'      'XP1, XP2'                                                        ''
'Вилка   РЮМК.430420.078ТУ'                 ''       ''                                                                ''
'СНП401-16ВП21-4-1-2'                       '1'      'XP5'                                                             ''
'СНП401-8ВП21-4-1-2'                        '2'      'XP3, XP4'                                                        ''
'Диодные сборки  аАО.339.583ТУ'             ''       ''                                                                ''
'2Д707АС9'                                  '5'      'VD1-VD3, VD5, VD6'                                               ''
'Дроссели  БКЮС.670109.002-01ТУ'            ''       ''                                                                ''
'ДФПК7,5-2/0,4'                             '1'      'L1'                                                              ''
'Конденсаторы  ФЦТА.673516.016ТУ'           ''       ''                                                                ''
'К10-84в 2012М-50В-М47-33 пФ±10%-N-А'       '2'      'C6, C7'                                                          ''
'К10-84в 2012М-50В-Н20-4700 пФ±10%-N-А'     '2'      'C3, C5'                                                          ''
'К10-84в 3216М-25В-Н20-0,01 мкФ±10%-N-А'    '1'      'C11'                                                             ''
'К10-84в 3216М-25В-Н20-0,15 мкФ±10%-N-А'    '26'     'C8-C10, C12, C16-C20, C25, C29, C31, C32, C35, C38-C41, C43-C50' ''
'К10-84в 3216М-25В-Н20-2,2 мкФ±10%-N-А'     '1'      'C26'                                                             ''
'К10-84в 5750М-50В-Н90-2,2 мкФ-N-А'         '4'      'C2, C23, C24, C42'                                               ''
'Конденсаторы  АЖЯР.673546.007ТУ'           ''       ''                                                                ''
'К53-68"C"-25В-10,0 мкФ±10%'                '6'      'C21, C22, C27, C28, C36, C37'                                    ''
'К53-68"D"-25В-1,0 мкФ±10%'                 '3'      'C13-C15'                                                         ''
'К53-68"D"-25В-10,0 мкФ±10%'                '2'      'C30, C34'                                                        ''
'К53-68"D"-25В-15,0 мкФ±10%'                '1'      'C33'                                                             ''
'К53-68"E"-50В-10,0 мкФ±10%'                '2'      'C1, C4'                                                          ''
'Микросхемы  АЕЯР.431420.809ТУ'             ''       ''                                                                ''
'1335ЕН5П'                                  '1'      'DA5'                                                             ''
'Микросхемы  АЕЯР.431130.171-17ТУ'          ''       ''                                                                ''
'140УД31АТ1 ВК'                             '3'      'DA3, DA4, DA9'                                                   ''
'Микросхемы  АЕЯР.431290.711ТУ'             ''       ''                                                                ''
'1986ВЕ92У1'                                '1'      'DD2'                                                             ''
'Микросхемы  АЕНВ.431420.461-02ТУ'          ''       ''                                                                ''
'5321EM06B5'                                '1'      'DA8'                                                             ''
'Микросхемы  АЕНВ.432420.461-02ТУ'          ''       ''                                                                ''
'5321ЕН03Г5'                                '1'      'DA7'                                                             ''
'Микросхемы  АЕНВ.431420.461-02ТУ'          ''       ''                                                                ''
'5321ЕН04Г4'                                '1'      'DA6'                                                             ''
'Микросхемы  АЕЯР.431230.652ТУ'             ''       ''                                                                ''
'5559ИН14АУ'                                '1'      'DD1'                                                             ''
'Модули электропитания  БКЯЮ.436630.001ТУ'  ''       ''                                                                ''
'МДМ3-1Е09МП'                               '1'      'DA1'                                                             ''
'МДМ3-2Е1515МП'                             '1'      'DA2'                                                             ''
'Резисторы  ОЖ0.467.164ТУ'                  ''       ''                                                                ''
'Р1-8В-0,25-5,1 Ом±5%-Т-А-М'                '1'      'R26'                                                             ''
'Р1-8В-0,25-62 Ом±5%-Т-А-М'                 '2'      'R11, R12'                                                        ''
'Р1-8В-0,25-300 Ом±5%-Т-А-М'                '2'      'R13, R14'                                                        ''
'Р1-8В-0,25-510 Ом±5%-Т-А-М'                '1'      'R48'                                                             ''
'Р1-8В-0,25-1 кОм±5%-Т-А-М'                 '1'      'R42'                                                             ''
'Р1-8В-0,25-10 кОм±5%-Т-А-М'                '9'      'R1-R8, R10'                                                      ''
'Р1-8В-0,25-24 кОм±5%-Т-А-М'                '1'      'R9'                                                              ''
'Р1-8МП-0,25-1 кОм±1%-Ж-К-М'                '6'      'R15, R16, R18, R52, R54, R55'                                    ''
